dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,Big4
2016-04-02T04:21:10Z,2018-04-26T02:08:31Z,5261 Library Rd,Fast Food Restaurant,Bethel Park,US,us/pa/bethelpark/5261libraryrd/-1161002137,40.332263,-80.02322099999999,McDonald's,15102,PA,McDonalds
2017-06-27T06:03:38Z,2018-04-26T02:08:30Z,2546 Constitution Blvd,Fast Food Restaurant,Beaver Falls,US,us/pa/beaverfalls/2546constitutionblvd/-1161002137,40.772636,-80.373497,McDonald's,15010,PA,McDonalds
2016-03-23T04:32:28Z,2018-04-26T02:08:29Z,111 W Lancaster Ave,Fast Food Restaurants,Ardmore,US,us/pa/ardmore/111wlancasterave/-1161002137,40.008996,-75.29320899999999,McDonald's,19003,PA,McDonalds
2017-06-19T15:31:39Z,2018-04-26T02:08:29Z,1240 Bristol Pike,Fast Food Restaurants,Bensalem,US,us/pa/bensalem/1240bristolpike/-1161002137,40.071121000000005,-74.966297,McDonald's,19020,PA,McDonalds
2015-10-21T17:54:55Z,2018-04-26T02:08:29Z,4340 Bonita Rd,Fast Food Restaurants,Bonita,US,us/ca/bonita/4340bonitard/-1161002137,32.6603,-117.0344,McDonald's,91902,CA,McDonalds
2016-06-07T21:16:48Z,2018-04-26T02:08:26Z,407 E Plank Rd,Fast Food Restaurants,Altoona,US,us/pa/altoona/407eplankrd/-1161002137,40.480114,-78.402654,McDonald's,16602,PA,McDonalds
2014-10-24T19:06:43Z,2018-04-26T02:08:24Z,725 E St,Fast Food,Chula Vista,US,us/ca/chulavista/725est/-1161002137,32.6404,-117.09853100000001,McDonald's,91910,CA,McDonalds
2015-06-28T18:11:55Z,2018-04-26T02:08:10Z,475 Johnny Mercer Blvd,Fast Food,Savannah,US,us/ga/savannah/475johnnymercerblvd/-1161002137,32.0159,-80.9783,McDonald's,31410,GA,McDonalds
2017-06-20T15:09:55Z,2018-04-26T02:07:38Z,1930 E 20th St,Fast Food Restaurant,Chico,US,us/ca/chico/1930e20thst/-864103396,39.727509999999995,-121.80662,Taco Bell,95928,CA,Taco Bell
2017-06-19T15:35:09Z,2018-04-26T02:07:01Z,3610 Buechel Byp,Fast Food Restaurant,Louisville,US,us/ky/louisville/3610buechelbyp/-791445730,38.19919,-85.66254,Wendy's,40218,KY,Wendys
2017-07-24T20:58:58Z,2018-04-26T02:06:57Z,287 N Hubbards Lane,Fast Food Restaurant,Louisville,US,us/ky/louisville/287nhubbardslane/-1161002137,38.2586,-85.6394,McDonald's,40207,KY,McDonalds
2015-11-26T18:15:43Z,2018-04-26T02:06:38Z,4540 Ashford Dunwoody Rd NE,Fast Food Restaurant,Atlanta,US,us/ga/atlanta/4540ashforddunwoodyrdne/-1161002137,33.926834,-84.337654,McDonald's,30346,GA,McDonalds
2016-03-30T03:58:49Z,2018-04-26T02:05:50Z,1802 Main St,Fast Food Restaurant and Burger Joint,Dunedin,US,us/fl/dunedin/1802mainst/-791445730,28.01988109,-82.7553494,Wendy's,34698,FL,Wendys
2016-07-06T20:08:45Z,2018-04-26T02:04:19Z,220 Spring St,Fast Food Restaurant,Charleston,US,us/sc/charleston/220springst/-864103396,32.78743,-79.95384,Taco Bell,29403,SC,Taco Bell
2017-02-11T02:15:52Z,2018-04-26T02:01:41Z,4546 N Kedzie Ave,Fast Food Restaurant,Chicago,US,us/il/chicago/4546nkedzieave/-1161002137,41.96415,-87.70863,McDonald's,60625,IL,McDonalds
2017-08-06T15:21:21Z,2018-04-26T02:00:54Z,18988 Sonoma Hwy,Fast Food Restaurant,Sonoma,US,us/ca/sonoma/18988sonomahwy/-1161002137,38.3031,-122.477,McDonald's,95476,CA,McDonalds
2015-11-07T18:13:10Z,2018-04-26T02:00:44Z,6009 Ooltewah Georgetown Rd,Fast Food Restaurant and Burger Joint Ooltewah - Summit,Ooltewah,US,us/tn/ooltewah/6009ooltewahgeorgetownrd/-791445730,35.083378,-85.05856999999999,Wendy's,37363,TN,Wendys
2017-01-14T11:12:41Z,2018-04-26T02:00:19Z,308 Westwood Plz,Fast Food,Los Angeles,US,us/ca/losangeles/308westwoodplz/-864103396,34.07042,-118.44414499999999,Taco Bell,90095,CA,Taco Bell
2017-09-04T02:15:18Z,2018-04-26T01:59:18Z,3323 N White Sands Blvd,Fast Food Restaurants,Alamogordo,US,us/nm/alamogordo/3323nwhitesandsblvd/-864103396,32.934360999999996,-105.96455700000001,Taco Bell,88310,NM,Taco Bell
2016-05-29T07:07:57Z,2018-04-26T01:59:17Z,3330 Donnell Dr,Fast Food Restaurant,District Heights,US,us/md/districtheights/3330donnelldr/-864103396,38.846222,-76.884362,Taco Bell,20747,MD,Taco Bell
2017-09-07T02:20:56Z,2018-04-26T01:59:09Z,5015 Shelbyville Rd,Fast Food Restaurant,Louisville,US,us/ky/louisville/5015shelbyvillerd/-1161002137,38.25043,-85.62325,McDonald's,40207,KY,McDonalds
2015-10-23T03:06:06Z,2018-04-26T01:58:44Z,1000 E 4th St,Fast Food Restaurant,Long Beach,US,us/ca/longbeach/1000e4thst/-1161002137,33.771389899999996,-118.179547,McDonald's,90802,CA,McDonalds
2016-06-14T02:25:01Z,2018-04-26T01:58:36Z,4848 Woodruff Ave,Fast Food Restaurant,Lakewood,US,us/ca/lakewood/4848woodruffave/-1161002137,33.846241,-118.116223,McDonald's,90713,CA,McDonalds
2015-07-22T19:05:07Z,2018-04-26T01:55:43Z,4121 Tates Creek Centre Rd,Fast Food Restaurant and Mexican Restaurant,Lexington,US,us/ky/lexington/4121tatescreekcentrerd/-864103396,37.96833933,-84.50302332,Taco Bell,40517,KY,Taco Bell
2017-09-11T16:35:29Z,2018-04-26T01:54:54Z,610 Fairview Blvd,Fast Food Restaurant,Kendallville,US,us/in/kendallville/610fairviewblvd/-864103396,41.450168,-85.24759399999999,Taco Bell,46755,IN,Taco Bell
2015-11-13T18:15:34Z,2018-04-20T20:18:31Z,4299 Barger Dr,Fast Food Restaurant and Mexican Restaurant,Eugene,US,us/or/eugene/4299bargerdr/-864103396,44.08469,-123.16878,Taco Bell,97402,OR,Taco Bell
2015-12-01T15:33:18Z,2018-04-20T20:16:10Z,751 Harrison Ave,Fast Food Restaurants,Harrison,US,us/nj/harrison/751harrisonave/-2061630068,40.7477,-74.14832,Burger King,7029,NJ,Burger King
2015-09-13T02:08:14Z,2018-04-20T04:30:07Z,7696 Dorchester Blvd,Fast Food Restaurants,Hanover,US,us/md/hanover/7696dorchesterblvd/-891525969,39.15498208,-76.74284762,Subway,21076,MD,Subway
2016-02-26T13:29:32Z,2018-04-20T02:40:49Z,2541 N M 65,Fast Food Restaurants,Curran,US,us/mi/curran/2541nm65/-891525969,44.728211,-83.80736,Subway,48728,MI,Subway
2015-10-23T01:07:13Z,2018-04-20T02:40:45Z,2365 S State Rd,Fast Food Restaurants,Ionia,US,us/mi/ionia/2365sstaterd/-891525969,42.948894,-85.074732,Subway,48846,MI,Subway
2015-10-19T14:28:58Z,2018-04-20T02:40:45Z,2500 E Beltline Ave SE,Fast Food Restaurants,Grand Rapids,US,us/mi/grandrapids/2500ebeltlineavese/-891525969,42.918507,-85.58317199999999,Subway,49546,MI,Subway
2015-10-22T19:08:30Z,2018-04-20T02:40:41Z,2224 N Larch St,Fast Food Restaurants,Lansing,US,us/mi/lansing/2224nlarchst/-891525969,42.757528,-84.543561,Subway,48906,MI,Subway
2016-04-03T12:05:28Z,2018-04-20T02:37:52Z,3225 Towne Centre Blvd,Fast Food Restaurants,Lansing,US,us/mi/lansing/3225townecentreblvd/-891525969,42.764454,-84.51774499999999,Subway,48912,MI,Subway
